customer_state,total_orders,late_orders,late_rate,avg_late_days,avg_review_score,avg_payment_value,late_dispatch_count,late_dispatch_rate,avg_dispatch_time,avg_dispatch_delay
AC,80,3,0.03296703296703297,-20.978021978021978,4.155555555555556,273.52186813186813,3,0.03296703296703297,2.3076923076923075,-3.9450549450549453
AL,397,103,0.24121779859484777,-8.735362997658079,3.826603325415677,253.9228805620609,29,0.06791569086651054,2.6557377049180326,-3.6791569086651053
AM,145,7,0.04294478527607362,-19.932515337423315,4.105590062111801,211.67509202453988,5,0.03067484662576687,1.9079754601226995,-4.41717791411043
AP,67,4,0.04938271604938271,-18.395061728395063,4.2625,265.7001234567901,4,0.04938271604938271,2.3209876543209877,-4.1234567901234565
BA,3252,503,0.13672193530850774,-10.973090513726556,3.8670711527854387,209.94399021473225,162,0.04403370481108997,2.388420766512639,-3.827398749660234
CE,1278,218,0.1529824561403509,-11.100350877192982,3.8757062146892656,233.91271578947368,71,0.04982456140350877,2.391578947368421,-3.680701754385965
DF,2076,175,0.07443641003828158,-12.188430455125479,4.059991368148468,179.03752445767756,109,0.04636324968098681,2.3581454700127606,-3.7367077839217355
ES,1989,272,0.12257773771969356,-10.630914826498422,4.010540788267645,178.7799819738621,116,0.05227579990986931,2.508787742226228,-3.729607931500676
GO,1951,179,0.07881990312637605,-12.291061206516952,4.035457809694794,216.7860105680317,86,0.03786878027300748,2.0704535446939674,-4.085424922941436
MA,714,163,0.20451693851944794,-9.894604767879548,3.7557251908396947,244.44895859473024,45,0.056461731493099125,2.795483061480552,-3.8883312421580927
MG,11324,703,0.05457650803509044,-13.333048676345005,4.12425431711146,176.645246487074,594,0.04611443210930828,2.336775095101312,-3.845275987889139
MS,699,88,0.10877626699629171,-11.223733003708281,4.059627329192547,200.89474660074166,35,0.04326328800988875,2.275648949320148,-4.0
MT,882,70,0.06809338521400778,-14.42023346303502,4.022704837117473,243.10763618677043,31,0.030155642023346304,2.1488326848249026,-4.085603112840467
PA,945,131,0.12440645773979107,-14.24406457739791,3.841951219512195,241.86599240265906,37,0.03513770180436847,2.4634377967711303,-3.8736942070275404
PB,517,66,0.11262798634812286,-13.03754266211604,4.034602076124568,302.6801877133106,38,0.06484641638225255,2.5426621160409555,-3.643344709897611
PE,1592,178,0.10200573065902578,-13.44355300859599,4.018002322880371,206.83585673352437,84,0.048137535816618914,2.349570200573066,-3.8137535816618913
PI,472,81,0.15606936416184972,-11.479768786127167,3.958984375,256.58753371868977,22,0.04238921001926782,2.302504816955684,-3.8458574181117533
PR,4910,270,0.04791481810115351,-13.486069210292813,4.148764769065521,182.53223070097604,275,0.048802129547471165,2.3547471162377995,-3.750665483584738
RJ,12329,1835,0.12999433267214508,-11.990082176253896,3.8767844268204756,190.17613134032305,669,0.047393029186738454,2.4874610371209975,-3.773306885803344
RN,474,54,0.1036468330134357,-13.952015355086372,4.106796116504855,220.89174664107486,33,0.06333973128598848,2.746641074856046,-3.767754318618042
RO,243,11,0.040293040293040296,-20.04029304029304,4.078066914498141,238.8302564102564,10,0.03663003663003663,1.835164835164835,-4.26007326007326
RR,41,5,0.10869565217391304,-18.32608695652174,3.891304347826087,245.67130434782607,3,0.06521739130434782,2.717391304347826,-3.0
RS,5326,422,0.06904450261780105,-14.124181937172775,4.092317837124959,181.24177192408376,252,0.0412303664921466,2.281740837696335,-3.8982329842931938
SC,3533,394,0.09663968604365955,-11.522197694383125,4.046650124069479,187.2284645572725,206,0.05052734854059358,2.419916605347069,-3.8319843021829776
SE,334,61,0.16310160427807488,-9.98663101604278,3.8945945945945946,228.85842245989306,25,0.06684491978609626,2.786096256684492,-3.628342245989305
SP,40423,2674,0.05769770201747761,-11.199180062574172,4.180013957951671,159.41895609019312,2160,0.04660696946811954,2.291164095371669,-3.8150393785737404
TO,273,38,0.12297734627831715,-12.336569579288026,4.160130718954249,228.6443365695793,13,0.042071197411003236,2.453074433656958,-3.9514563106796117
